Certificate,Company
FairTrade,Lake Champlain Chocolates
FairTrade,Kudro
FairTrade,Gallant International
FairTrade,Aventura
FairTrade,Pact
FairTrade,Guittard
FairTrade,Ahold Delhaize
FairTrade,Whole Foods Market
FairTrade,Target
FairTrade,Costco
FairTrade,Amazon
FairTrade,Lidl
FairTrade,Thrive Market
FairTrade,Natural Grocers
FairTrade,Arc'Teryx
FairTrade,REI
FairTrade,Athleta
FairTrade,CVS
FairTrade,Aldi
FairTrade,Simple Truth
FairTrade,Member's Mark
FairTrade,Farmer Brothers
FairTrade,Wholesome
FairTrade,NatureSweet
FairTrade,Divine Flavor
FairTrade,Fair Indigo
FairTrade,Tony's Coffee
FairTrade,Equator Coffees
FairTrade,Numi
FairTrade,Unreal
FairTrade,Barrie House
ECOCERT,Remei India Limited
ECOCERT,ACE Organic Zing Private Limited
ECOCERT,Organic India Pvt. Ltd.
ECOCERT,Net Paradigm India Pvt. Ltd.
ECOCERT,Dr. Willmar Schwabe India Pvt. Ltd.
ECOCERT,Sow Fresh India LL
ECOCERT,Lifecell International Pvt. Ltd.
ECOCERT,Sun Bio Naturals (India) Pvt. Ltd.
ECOCERT,Kyssa India Organic and Natural Pvt. Ltd.
ECOCERT,Urtekram
ECOCERT,Avril Cosmetics
ECOCERT,Green People
ECOCERT,Eubiona Natural Beauty
ECOCERT,Madara Skincare
ECOCERT,Lavera
ECOCERT,Hurraw Balm
ECOCERT,ZENZ Organic Professional
ECOCERT,Valyxir
ECOCERT,The HEL Skin Co.
ECOCERT,PATTERNA
COSMOS,Urtekram
COSMOS,Madara Skincare
COSMOS,Green People
COSMOS,Lavera
COSMOS,Eubiona Natural Beauty
COSMOS,Avril Cosmetics
COSMOS,Hurraw Balm
COSMOS,ZENZ Organic Professional
COSMOS,Valyxir
COSMOS,The HEL Skin Co.
COSMOS,PATTERNA
COSMOS,Madara Professional
COSMOS,Naturkosmetik Puremetics
COSMOS,Bioturm
COSMOS,Logona
COSMOS,SANTE Naturkosmetik
COSMOS,Ecco Verde (private label)
COSMOS,Dr. Hauschka
COSMOS,Weleda
COSMOS,Lily Lolo Cosmetics
COSMOS,RMS Beauty
COSMOS,Pai Skincare
COSMOS,Neal's Yard Remedies
COSMOS,Trilogy
COSMOS,John Masters Organics
COSMOS,Faith in Nature
COSMOS,Ren Clean Skincare
COSMOS,Mad Hippie
COSMOS,Kimmy… Beauty
COSMOS,COSRX
